COURSE PER BUILDING REPORT,,,,,,,,
NSTP 2,NATIONAL SERVICE TRAINING PROGRAM 2,28,0,,DISSOLVED,Sat (03:00 PM) - (06:00 PM) AF104TC             ,,
NSTP 2,NATIONAL SERVICE TRAINING PROGRAM 2,27,44,,HONORARIUM-BASED,Sat (01:30 PM) - (04:30 PM) AF103TC             ,,
NSTP 2,NATIONAL SERVICE TRAINING PROGRAM 2,29,45,,HONORARIUM-BASED,Sat (03:30 PM) - (06:30 PM) AF104TC             ,,
PA 222,SCULPTURE 2,1,6,,PETITION,W (08:30 AM) - (12:30 PM) AF2B11TC            ,,
PA 412X,INSTALLATION AND PERFORMANCE ART,1,12,,PETITION,W (01:30 PM) - (05:30 PM) AF2B11TC            ,,
PDEV 01,PERSONAL DEVELOPMENT,1,39,,BLOCKSECTION,TTh (03:00 PM) - (04:30 PM) AFCB4TC             ,,
PDEV 01,PERSONAL DEVELOPMENT,13,2,,DISSOLVED,MW (07:30 AM) - (09:00 AM) AF211TC             ,,
PLAN 1N,SITE PLANNING AND HOUSING,1,10,,PETITION,TTh (09:00 AM) - (10:30 AM) 2B06                ,,
PLAN 2N,"INTRODUCTION TO URBAN AND REGIONAL PLANNING, HOUSING",2,1,,DISSOLVED,MWF (02:30 PM) - (03:30 PM) AF3B02              ,,
PLAN 2N,"INTRODUCTION TO URBAN AND REGIONAL PLANNING, HOUSING",3,0,,DISSOLVED,MWF (02:30 PM) - (03:30 PM) AF101               ,,
PLAN 2N,"INTRODUCTION TO URBAN AND REGIONAL PLANNING, HOUSING",1,26,,PETITION,MWF (02:30 PM) - (03:30 PM) AF102               ,,
PLAN 3,"INTRODUCTION TO URBAN & REGIONAL PLANNING, HOUSING",1,3,,DISSOLVED,MWF (01:30 PM) - (02:30 PM) 1B12c               ,,
PLAN 3N,FUNDAMENTALS OF URBAN DESIGN & COMMUNITY DEVELOPMENT,1,50,,REGULAR,MWF (02:30 PM) - (03:30 PM) 1B12c               ,,
PLAN 3N,FUNDAMENTALS OF URBAN DESIGN & COMMUNITY DEVELOPMENT,2,5,,TUTORIAL,MW (11:00 AM) - (12:30 PM) AF209               ,,
POSC 13,CURRENT ISSUES,1,39,,REGULAR,MWF (01:30 PM) - (02:30 PM) AF101               ,,
POSC 13,CURRENT ISSUES,2,41,,REGULAR,MWF (12:30 PM) - (01:30 PM) AF102               ,,
POSC 13,CURRENT ISSUES,3,40,,REGULAR,MWF (12:30 PM) - (01:30 PM) 2B06                ,,
POSC 13,CURRENT ISSUES,4,0,,REGULAR,MWF (12:30 PM) - (01:30 PM) AF3B02              ,,
PROFPRC 1A,BUILDING LAWS: LAWS AFFECTING THE PRACTICE OF ARCHITECTURE,1,34,,REGULAR,Sat (01:30 PM) - (04:30 PM) 2B06                ,,
PROFPRC 2A,"ORGANIZATION, MANAGEMENT & REGULATORY SERVICES: ADMINISTERING THE REGULAR SERVICES OF THE ARCHITECT",2,9,,DISSOLVED,MWF (08:30 AM) - (09:30 AM) AF208               ,,
PROFPRC 2A,"ORGANIZATION, MANAGEMENT & REGULATORY SERVICES: ADMINISTERING THE REGULAR SERVICES OF THE ARCHITECT",1,45,,REGULAR,TTh (10:30 AM) - (12:00 PM) AF208               ,,
PROFPRC 3A,GLOBAL PRACTICE OF ARCHITECTURE,1,30,,PETITION,MWF (10:30 AM) - (11:30 AM) CB3                 ,,
PROFPRC 4,PROJECT DEVELOPMENT CYCLE,1,4,,DISSOLVED,MWF (03:30 PM) - (04:30 PM) AF101               ,,
PROFPRC 4,PROJECT DEVELOPMENT CYCLE,4,14,,PETITION,TTh (10:30 AM) - (12:00 PM) 1B12E               ,,
REED 02,"NEW TESTAMENT: JESUS, THE FULLNESS OF GOD'S REVELATION",1,39,,BLOCKSECTION,MWF (07:30 AM) - (08:30 AM) AFCB4TC             ,,
REED 02,"NEW TESTAMENT: JESUS, THE FULLNESS OF GOD'S REVELATION",13,40,,BLOCKSECTION,TTh (03:00 PM) - (04:30 PM) AF211TC             ,,
REED 30N,WITNESS TO THE WORD,1,0,,REGULAR,MWF (01:30 PM) - (02:30 PM) 2B06                ,,
REED 30N,WITNESS TO THE WORD,2,46,,REGULAR,MWF (11:30 AM) - (12:30 PM) AF101               ,,
REED 30N,WITNESS TO THE WORD,3,0,,REGULAR,MWF (11:30 AM) - (12:30 PM) AF102               ,,
REED 30N,WITNESS TO THE WORD,4,0,,REGULAR,MWF (11:30 AM) - (12:30 PM) 2B06                ,,
REED 30N,WITNESS TO THE WORD,5,46,,REGULAR,MWF (11:30 AM) - (12:30 PM) AF3B02              ,,
REED 30N,WITNESS TO THE WORD,7,30,,REGULAR,TTh (01:30 PM) - (03:00 PM) CB3                 ,,
REED 30N,WITNESS TO THE WORD,6,4,,TUTORIAL,TTh (09:00 AM) - (10:30 AM) AF3B02              ,,
REED 40,THE CHRISTIAN WITNESS IN THE WORLD,2,41,,REGULAR,Sat (09:30 AM) - (12:00 PM) AF211TC             ,,
REED 40,THE CHRISTIAN WITNESS IN THE WORLD,4,3,,TUTORIAL,TTh (03:00 PM) - (04:30 PM) AF103TC             ,,
RES 01,RESEARCH IN DAILY LIFE 1,1,39,,BLOCKSECTION,MWF (01:00 PM) - (02:00 PM) AFCB4TC             ,,
RES 01,RESEARCH IN DAILY LIFE 1,13,40,,BLOCKSECTION,TTh (09:00 AM) - (10:30 AM) AF211TC             ,,
RESEARCH-N,METHODS OF ARCHITECTURAL RESEARCH/STATISTICS,1,1,,TUTORIAL,MWF (01:30 PM) - (02:30 PM) 2B07A               ,,
SOCSCI 01,"UNDERSTANDING CULTURE, SOCIETY AND POLITICS",1,39,,BLOCKSECTION,MWF (08:30 AM) - (09:30 AM) AFCB4TC             ,,
SOCSCI 01,"UNDERSTANDING CULTURE, SOCIETY AND POLITICS",13,38,,BLOCKSECTION,MW (03:00 PM) - (04:30 PM) AF211TC             ,,
STAT 01,STATISTICS AND PROBABILITY,1,39,,BLOCKSECTION,TTh (12:00 PM) - (01:30 PM) AFCB4TC             ,,
STAT 01,STATISTICS AND PROBABILITY,13,40,,BLOCKSECTION,MWF (02:00 PM) - (03:00 PM) AF211TC             ,,
THEORY 1,THEORY OF ARCHITECTURE 1,1,12,,PETITION,MWF (09:30 AM) - (10:30 AM) 1B10c               ,,
THEORY 2,THEORY OF ARCHITECTURE 2,1,27,,PETITION,MWF (12:30 PM) - (01:30 PM) 1B12d               ,,
TROP DES,TROPICAL DESIGN,1,9,,DISSOLVED,MW (05:30 PM) - (06:30 PM) AF208               ,,
UTIL 3A,ACOUSTICS AND LIGHTING,1,4,,DISSOLVED,TTh (03:00 PM) - (04:30 PM) AF209               ,,
UTIL 3A,ACOUSTICS AND LIGHTING,2,23,,PETITION,TTh (12:00 PM) - (01:30 PM) AF102               ,,
UTIL 3X,ELECTRICAL & MECHANICAL SYSTEMS IN BLDG.,1,3,,TUTORIAL,TTh (04:30 PM) - (06:00 PM) AF3B01              ,,
VISTECH 2,COLOR RENDERING,1,2,,TUTORIAL,TTh (07:30 AM) - (10:30 AM) 1B10b               ,,
VISTECH 3,PRESENTATION TECHNIQUES,1,2,,TUTORIAL,MW (02:30 PM) - (04:30 PM) 2B07A               ,,
CHEM 02,GENERAL CHEMISTRY 2 (LECTURE),1,39,,BLOCKSECTION,MW (03:00 PM) - (04:30 PM) AFCB4TC             ,,
CHEM 02,GENERAL CHEMISTRY 2 (LECTURE),13,39,,BLOCKSECTION,TTh (12:00 PM) - (01:30 PM) AF211TC             ,,
GE-PC,PURPOSIVE COMMUNICATION,44,0,,BLOCKSECTION,MWF (01:30 PM) - (02:30 PM) AF104TC             ,,
GE-ETHICS,ETHICS,14,37,,BLOCKSECTION,TTh (09:00 AM) - (10:30 AM) AF103TC             ,,
GE-ETHICS,ETHICS,46,41,,BLOCKSECTION,MWF (08:30 AM) - (09:30 AM) AF104TC             ,,
GE-ETHICS,ETHICS,47,39,,BLOCKSECTION,MWF (08:30 AM) - (09:30 AM) AF103TC             ,,
GE-ETHICS,ETHICS,1,40,,REGULAR,MWF (01:30 PM) - (02:30 PM) AF3B01              ,,
GE-ETHICS,ETHICS,2,34,,REGULAR,MWF (04:30 PM) - (05:30 PM) 1B12d               ,,
GE-ETHICS,ETHICS,3,36,,REGULAR,MWF (05:30 PM) - (06:30 PM) AF101               ,,
GE-TCW,CONTEMPORARY WORLD,8,15,,DISSOLVED,MWF (05:30 PM) - (06:30 PM) AF3B02              ,,
GE-TCW,CONTEMPORARY WORLD,10,7,,DISSOLVED,MWF (07:30 AM) - (08:30 AM) AF101               ,,
GE-TCW,CONTEMPORARY WORLD,1,35,,REGULAR,TTh (07:30 AM) - (09:00 AM) AF102               ,,
GE-TCW,CONTEMPORARY WORLD,2,39,,REGULAR,TTh (07:30 AM) - (09:00 AM) AF101               ,,
GE-TCW,CONTEMPORARY WORLD,3,35,,REGULAR,TTh (07:30 AM) - (09:00 AM) AF208               ,,
GE-TCW,CONTEMPORARY WORLD,4,41,,REGULAR,MWF (03:30 PM) - (04:30 PM) AF102               ,,
GE-TCW,CONTEMPORARY WORLD,5,40,,REGULAR,MWF (05:30 PM) - (06:30 PM) AF102               ,,
GE-TCW,CONTEMPORARY WORLD,6,35,,REGULAR,TTh (07:30 AM) - (09:00 AM) AF209               ,,
GE-TCW,CONTEMPORARY WORLD,7,41,,REGULAR,MWF (04:30 PM) - (05:30 PM) AF102               ,,
GE-TCW,CONTEMPORARY WORLD,9,41,,REGULAR,MWF (04:30 PM) - (05:30 PM) CB3                 ,,
GE-STS,"SCIENCE, TECHNOLOGY AND SOCIETY",10,41,,BLOCKSECTION,MWF (07:30 AM) - (08:30 AM) AF104TC             ,,
GE-STS,"SCIENCE, TECHNOLOGY AND SOCIETY",23,45,,BLOCKSECTION,MWF (10:30 AM) - (11:30 AM) AF103TC             ,,
GE-STS,"SCIENCE, TECHNOLOGY AND SOCIETY",38,40,,BLOCKSECTION,TTh (07:30 AM) - (09:00 AM) AF103TC             ,,
GE-STS,"SCIENCE, TECHNOLOGY AND SOCIETY",2,3,,DISSOLVED,TTh (04:30 PM) - (06:00 PM) CB3                 ,,
GE-STS,"SCIENCE, TECHNOLOGY AND SOCIETY",1,43,,REGULAR,MWF (02:30 PM) - (03:30 PM) AF3B01              ,,
GE-STS,"SCIENCE, TECHNOLOGY AND SOCIETY",3,46,,REGULAR,TTh (04:30 PM) - (06:00 PM) AF209               ,,
EDM 1,THE CAROLINIAN MISSIONARY,30,40,,BLOCKSECTION,MWF (12:30 PM) - (01:30 PM) AF212TC             ,,
EDM 1,THE CAROLINIAN MISSIONARY,31,39,,BLOCKSECTION,MWF (12:30 PM) - (01:30 PM) AF103TC             ,,
EDM 1,THE CAROLINIAN MISSIONARY,51,40,,BLOCKSECTION,TTh (01:30 PM) - (03:00 PM) AF212TC             ,,
EDM 1,THE CAROLINIAN MISSIONARY,1,42,,REGULAR,MWF (12:30 PM) - (01:30 PM) AF209               ,,
EDM 1,THE CAROLINIAN MISSIONARY,2,33,,REGULAR,TTh (01:30 PM) - (03:00 PM) AF3B02              ,,
EDM 1,THE CAROLINIAN MISSIONARY,3,40,,REGULAR,TTh (03:00 PM) - (04:30 PM) AF102               ,,
FAD 1102,TECHNIQUES 1,1,10,,PETITION,Sat (08:00 AM) - (12:00 PM) AF1B05TC            ,,
FAD 1102,TECHNIQUES 1,2,0,,PETITION,Sat (08:00 AM) - (12:00 PM) AF304TC             ,,
FAD 1201,VISUAL PERCEPTION 2,1,35,,BLOCKSECTION,T (08:30 AM) - (12:30 PM) AF304TC             ,,
FAD 1201,VISUAL PERCEPTION 2,2,34,,BLOCKSECTION,T (01:30 PM) - (05:30 PM) AF210TC             ,,
FAD 1201,VISUAL PERCEPTION 2,3,19,,BLOCKSECTION,M (01:30 PM) - (05:30 PM) AF304TC             ,,
FAD 1201,VISUAL PERCEPTION 2,4,31,,BLOCKSECTION,M (01:30 PM) - (05:30 PM) AF210TC             ,,
FAD 1202,TECHNIQUES 2,1,34,,BLOCKSECTION,Th (08:30 AM) - (12:30 PM) AF304TC             ,,
FAD 1202,TECHNIQUES 2,2,33,,BLOCKSECTION,Th (08:30 AM) - (12:30 PM) AF1B04TC            ,,
FAD 1202,TECHNIQUES 2,3,17,,BLOCKSECTION,W (01:30 PM) - (05:30 PM) AF304TC             ,,
FAD 1202,TECHNIQUES 2,4,26,,BLOCKSECTION,W (01:30 PM) - (05:30 PM) AF1B03TC            ,,
FAD 1203,MATERIALS 2,1,35,,BLOCKSECTION,T (01:30 PM) - (05:30 PM) AF304TC             ,,
FAD 1203,MATERIALS 2,2,34,,BLOCKSECTION,T (08:30 AM) - (12:30 PM) AF1B04TC            ,,
FAD 1203,MATERIALS 2,3,18,,BLOCKSECTION,F (08:30 AM) - (12:30 PM) AF1B04TC            ,,
FAD 1203,MATERIALS 2,4,29,,BLOCKSECTION,F (08:30 AM) - (12:30 PM) AF210TC             ,,
FAD  1204,ASIAN ART,1,36,,BLOCKSECTION,Th (01:30 PM) - (04:30 PM) AF304TC             ,,
FAD  1204,ASIAN ART,2,33,,BLOCKSECTION,Th (01:30 PM) - (04:30 PM) AF210TC             ,,
FAD  1204,ASIAN ART,3,16,,BLOCKSECTION,F (01:30 PM) - (04:30 PM) AF210TC             ,,
FAD  1204,ASIAN ART,4,31,,BLOCKSECTION,F (01:30 PM) - (04:30 PM) AF304TC             ,,
LA 1200,LANDSCAPE DESIGN 2,1,28,,REGULAR,TTh (01:00 PM) - (04:30 PM) AF308TC             ,,
LA 1221,HARDSCAPE CONSTRUCTION 1,1,34,,REGULAR,FSat (09:00 AM) - (11:30 AM) AF305               ,,
AD 1262,ELEMENTARY SURVEYING,4,16,,DISSOLVED,Sat (09:30 AM) - (12:30 PM) CB3                 ,,
AD 1262,ELEMENTARY SURVEYING,1,41,,REGULAR,Sat (09:30 AM) - (12:30 PM) 2B06                ,,
AD 1262,ELEMENTARY SURVEYING,2,33,,REGULAR,Sat (09:30 AM) - (12:30 PM) AF3B01              ,,
AD 1262,ELEMENTARY SURVEYING,3,27,,REGULAR,Sat (09:30 AM) - (12:30 PM) AF3B02              ,,
AD 1262,ELEMENTARY SURVEYING,5,38,,REGULAR,TTh (09:00 AM) - (10:30 AM) AF3B01              ,,
AD 1262,ELEMENTARY SURVEYING,6,45,,REGULAR,MWF (07:30 AM) - (08:30 AM) CB3                 ,,
AD 1262,ELEMENTARY SURVEYING,7,39,,REGULAR,TTh (04:30 PM) - (06:00 PM) AF102               ,,
AD 1211,VISUAL COMMUNICATION 3 (DRAFTING - PERSPECTIVE),2,44,,BLOCKSECTION,TTh (09:00 AM) - (12:30 PM) 2B07c               ,,
AD 1211,VISUAL COMMUNICATION 3 (DRAFTING - PERSPECTIVE),4,45,,BLOCKSECTION,TTh (12:30 PM) - (04:00 PM) 2B07b               ,,
AD 1211,VISUAL COMMUNICATION 3 (DRAFTING - PERSPECTIVE),5,11,,DISSOLVED,TTh (12:30 PM) - (04:00 PM) 2B07c               ,,
AD 1211,VISUAL COMMUNICATION 3 (DRAFTING - PERSPECTIVE),6,9,,DISSOLVED,MW (01:30 PM) - (05:00 PM) 2B07A               ,,
AD 1211,VISUAL COMMUNICATION 3 (DRAFTING - PERSPECTIVE),1,45,,REGULAR,TTh (03:00 PM) - (06:30 PM) AF305               ,,
AD 1211,VISUAL COMMUNICATION 3 (DRAFTING - PERSPECTIVE),3,36,,REGULAR,TTh (09:00 AM) - (12:30 PM) 2B07b               ,,
AD 1211,VISUAL COMMUNICATION 3 (DRAFTING - PERSPECTIVE),7,31,,REGULAR,TTh (08:00 AM) - (11:30 AM) 2B07d               ,,
AD 1211,VISUAL COMMUNICATION 3 (DRAFTING - PERSPECTIVE),8,31,,REGULAR,F (08:30 AM) - (12:00 PM) AF307TC             F (01:00 PM) - (04:30 PM) AF307TC             ,,
AD 1211,VISUAL COMMUNICATION 3 (DRAFTING - PERSPECTIVE),9,35,,REGULAR,F (08:30 AM) - (12:00 PM) AF308TC             F (01:00 PM) - (04:30 PM) AF308TC             ,,
AD 1212,VISUAL COMMUNICATION 4 (VISUAL TECHNIQUES - POLYCHROMATIC),1,45,,BLOCKSECTION,MW (01:30 PM) - (05:00 PM) 2B07c               ,,
AD 1212,VISUAL COMMUNICATION 4 (VISUAL TECHNIQUES - POLYCHROMATIC),2,44,,BLOCKSECTION,MW (01:00 PM) - (04:30 PM) 2B07b               ,,
AD 1212,VISUAL COMMUNICATION 4 (VISUAL TECHNIQUES - POLYCHROMATIC),4,44,,BLOCKSECTION,TTh (04:00 PM) - (07:30 PM) 2B07A               ,,
AD 1212,VISUAL COMMUNICATION 4 (VISUAL TECHNIQUES - POLYCHROMATIC),5,11,,DISSOLVED,F (12:30 PM) - (04:30 PM) 2B07A               Sat (01:30 PM) - (04:30 PM) 2B07A               ,,
AD 1212,VISUAL COMMUNICATION 4 (VISUAL TECHNIQUES - POLYCHROMATIC),6,9,,DISSOLVED,TTh (11:30 AM) - (03:00 PM) 2B07A               ,,
AD 1212,VISUAL COMMUNICATION 4 (VISUAL TECHNIQUES - POLYCHROMATIC),3,41,,REGULAR,FSat (09:30 AM) - (01:00 PM) 1B10b               ,,
AD 1212,VISUAL COMMUNICATION 4 (VISUAL TECHNIQUES - POLYCHROMATIC),7,33,,REGULAR,MW (08:00 AM) - (11:30 AM) 1B10a               ,,
AD 1212,VISUAL COMMUNICATION 4 (VISUAL TECHNIQUES - POLYCHROMATIC),8,27,,REGULAR,TTh (08:30 AM) - (12:00 PM) AF308TC             ,,
AD 1212,VISUAL COMMUNICATION 4 (VISUAL TECHNIQUES - POLYCHROMATIC),9,34,,REGULAR,TTh (08:30 AM) - (12:00 PM) 2B07e               ,,
IN 1200,INTERIOR DESIGN 2 (LECTURE),1,29,,REGULAR,MW (08:30 AM) - (09:30 AM) AF308TC             ,,
IN 1200,INTERIOR DESIGN 2 (LECTURE),2,32,,REGULAR,MW (12:30 PM) - (01:30 PM) AF308TC             ,,
IN 1200L,INTERIOR DESIGN 2 (LABORATORY) RESIDENTIAL,1,29,,REGULAR,MW (09:30 AM) - (12:30 PM) AF308TC             ,,
IN 1200L,INTERIOR DESIGN 2 (LABORATORY) RESIDENTIAL,2,32,,REGULAR,MW (01:30 PM) - (04:30 PM) AF308TC             ,,
IN 1231,HISTORY OF INTERIOR DESIGN AND DECORATIVE ARTS 2 (RENAISSANCE TO AMERICAN/ENGLISH PERIOD),1,25,,REGULAR,MW (01:30 PM) - (04:00 PM) CB3                 ,,
IN 1231,HISTORY OF INTERIOR DESIGN AND DECORATIVE ARTS 2 (RENAISSANCE TO AMERICAN/ENGLISH PERIOD),2,31,,REGULAR,MW (08:30 AM) - (11:00 AM) AF209               ,,
IN 1232,"COLOR AND LIGHT STUDIES 1 (AESTHETICS, PERCEPTUAL AND HISTORIC COLORS)",1,26,,REGULAR,TTh (03:00 PM) - (04:30 PM) AF3B01              ,,
IN 1232,"COLOR AND LIGHT STUDIES 1 (AESTHETICS, PERCEPTUAL AND HISTORIC COLORS)",2,31,,REGULAR,TTh (01:30 PM) - (03:00 PM) AF3B01              ,,
AR 1261,STATICS OF RIGID BODIES,1,44,,BLOCKSECTION,TTh (01:30 PM) - (03:00 PM) AF208               ,,
AR 1261,STATICS OF RIGID BODIES,2,37,,BLOCKSECTION,MWF (04:30 PM) - (05:30 PM) AF208               ,,
AR 1261,STATICS OF RIGID BODIES,4,47,,BLOCKSECTION,MW (05:30 PM) - (07:00 PM) AF211TC             ,,
AR 1261,STATICS OF RIGID BODIES,3,12,,DISSOLVED,MWF (03:30 PM) - (04:30 PM) AF209               ,,
AR 1261,STATICS OF RIGID BODIES,5,10,,DISSOLVED,TTh (04:30 PM) - (06:00 PM) AF208               ,,
AR 1261,STATICS OF RIGID BODIES,6,6,,DISSOLVED,TTh (03:00 PM) - (04:30 PM) AF208               ,,
AR 1200,ARCHITECTURAL DESIGN 2 - CREATIVE DESIGN FUNDAMENTALS,6,14,,DISSOLVED,MW (08:30 AM) - (12:30 PM) 2B07F               ,,
AR 1200,ARCHITECTURAL DESIGN 2 - CREATIVE DESIGN FUNDAMENTALS,1,40,,REGULAR,MW (08:30 AM) - (12:30 PM) 2B07A               ,,
AR 1200,ARCHITECTURAL DESIGN 2 - CREATIVE DESIGN FUNDAMENTALS,2,37,,REGULAR,MW (08:30 AM) - (12:30 PM) 2B07b               ,,
AR 1200,ARCHITECTURAL DESIGN 2 - CREATIVE DESIGN FUNDAMENTALS,3,39,,REGULAR,MW (08:30 AM) - (12:30 PM) 2B07c               ,,
AR 1200,ARCHITECTURAL DESIGN 2 - CREATIVE DESIGN FUNDAMENTALS,4,37,,REGULAR,MW (08:30 AM) - (12:30 PM) 2B07d               ,,
AR 1200,ARCHITECTURAL DESIGN 2 - CREATIVE DESIGN FUNDAMENTALS,5,34,,REGULAR,MW (08:30 AM) - (12:30 PM) 2B07e               ,,
AR 1221,BUILDING TECHNOLOGY 2 - DETAILING OF WOOD AND REINFORCED CONCRETE CONSTRUCTION,6,12,,DISSOLVED,F (04:00 PM) - (06:00 PM) 2B07b               Sat (02:30 PM) - (06:00 PM) 2B07b               F (02:30 PM) - (04:00 PM) 2B07b               ,,
AR 1221,BUILDING TECHNOLOGY 2 - DETAILING OF WOOD AND REINFORCED CONCRETE CONSTRUCTION,1,39,,REGULAR,T (09:00 AM) - (12:30 PM) 1B12b               Th (09:00 AM) - (11:00 AM) 1B12b               Th (11:00 AM) - (12:30 PM) 1B12b               ,,
AR 1221,BUILDING TECHNOLOGY 2 - DETAILING OF WOOD AND REINFORCED CONCRETE CONSTRUCTION,2,39,,REGULAR,T (03:00 PM) - (05:00 PM) AF306TC             Th (01:30 PM) - (05:00 PM) AF306TC             T (01:30 PM) - (03:00 PM) AF306TC             ,,
AR 1221,BUILDING TECHNOLOGY 2 - DETAILING OF WOOD AND REINFORCED CONCRETE CONSTRUCTION,3,43,,REGULAR,T (03:00 PM) - (05:00 PM) 2B07c               Th (01:30 PM) - (05:00 PM) 2B07c               T (01:30 PM) - (03:00 PM) 2B07c               ,,
AR 1221,BUILDING TECHNOLOGY 2 - DETAILING OF WOOD AND REINFORCED CONCRETE CONSTRUCTION,4,34,,REGULAR,F (09:30 AM) - (01:00 PM) 2B07b               Sat (11:00 AM) - (01:00 PM) 2B07b               Sat (09:30 AM) - (11:00 AM) 2B07b               ,,
AR 1221,BUILDING TECHNOLOGY 2 - DETAILING OF WOOD AND REINFORCED CONCRETE CONSTRUCTION,5,24,,REGULAR,T (08:00 AM) - (11:30 AM) 2B07A               Th (09:30 AM) - (11:30 AM) 2B07A               Th (08:00 AM) - (09:30 AM) 2B07A               ,,
AR 1232,THEORY OF ARCHITECTURE 1,5,10,,DISSOLVED,MW (03:30 PM) - (04:30 PM) AF208               ,,
AR 1232,THEORY OF ARCHITECTURE 1,6,12,,DISSOLVED,TTh (09:30 AM) - (10:30 AM) AF208               ,,
AR 1232,THEORY OF ARCHITECTURE 1,1,31,,REGULAR,F (04:30 PM) - (06:30 PM) AF209               ,,
AR 1232,THEORY OF ARCHITECTURE 1,2,39,,REGULAR,F (10:30 AM) - (12:30 PM) AF209               ,,
AR 1232,THEORY OF ARCHITECTURE 1,3,30,,REGULAR,MW (01:30 PM) - (02:30 PM) AF208               ,,
AR 1232,THEORY OF ARCHITECTURE 1,4,44,,REGULAR,MW (02:30 PM) - (03:30 PM) AF208               ,,
AR 1231,HISTORY OF ARCHITECTURE 2,5,15,,DISSOLVED,MW (01:30 PM) - (02:30 PM) AF102               ,,
AR 1231,HISTORY OF ARCHITECTURE 2,6,7,,DISSOLVED,F (12:30 PM) - (02:30 PM) AF208               ,,
AR 1231,HISTORY OF ARCHITECTURE 2,1,38,,REGULAR,F (08:30 AM) - (10:30 AM) 1B12b               ,,
AR 1231,HISTORY OF ARCHITECTURE 2,2,33,,REGULAR,F (01:30 PM) - (03:30 PM) AF209               ,,
AR 1231,HISTORY OF ARCHITECTURE 2,3,29,,REGULAR,MW (04:30 PM) - (05:30 PM) AF209               ,,
AR 1231,HISTORY OF ARCHITECTURE 2,4,44,,REGULAR,MW (01:30 PM) - (02:30 PM) AF209               ,,
CCF 02,CAROLINIAN CHARACTER FORMATION 2,1,39,,BLOCKSECTION,T (08:00 AM) - (09:00 AM) AFCB4TC             ,,
CCF 02,CAROLINIAN CHARACTER FORMATION 2,13,1,,DISSOLVED,M (10:30 AM) - (11:30 AM) AF211TC             ,,
BP-A&D 02,ART APPRECIATION & AESTHETICS,1,33,,HONORARIUM-BASED,M (01:30 PM) - (03:30 PM) AF103TC             ,,
BP-A&D 02,ART APPRECIATION & AESTHETICS,2,24,,HONORARIUM-BASED,M (05:30 PM) - (07:30 PM) AF103TC             ,,
,,,,,,,01-Jan,
