temp;value
27.23;-0.482007329
26.73;-0.082458855
26.13;-0.043920633
25.28;0.061823621
24.38;0.223417846
24.47;0.261687801
25.50;2.535907206
26.82;12.11200418
27.98;-35.57830719
28.98;-21.52910371
29.81;-18.60781922
30.39;-17.1430336
30.72;-6.070908529
30.80;5.160191121
30.63;4.195031188
30.27;7.222632337
29.87;9.112707464
29.53;23.08454897
29.23;13.7056614
28.93;6.658888099
28.63;1.707692655
28.33;0.907227959
28.03;0.747004408
27.78;0.923132139
28.04;3.802785045
27.88;3.709380133
27.57;3.914064864
27.17;3.633255842
26.77;4.123763915
26.89;4.149107852
27.51;5.186375047
28.33;16.2967743
29.23;-31.48431636
30.07;-25.10632152
30.69;-20.47630291
31.02;-14.72352506
31.10;-2.493551115
31.10;11.53149595
31.10;9.572392149
31.04;13.16491083
30.77;14.83722015
30.19;34.24916778
29.55;25.13868032
28.95;13.06417616
28.64;6.909839043
28.54;3.275664951
28.44;1.777325236
28.23;1.627182843
27.60;1.591065338
27.54;1.809739861
27.33;1.998829697
26.97;1.983127665
26.63;1.920817172
26.68;1.986050574
27.09;3.633203242
27.71;18.53827919
28.53;-30.97070957
29.37;-20.981616
30.05;-13.74382014
30.30;-3.642286645
30.24;6.889675541
30.08;24.21428349
30.06;25.93617853
30.04;23.97257212
29.94;12.5403083
29.61;27.42216634
29.11;12.91244873
28.61;8.831839724
28.28;3.872571535
28.14;2.437114383
27.98;1.762416175
27.55;1.793592061
26.71;0.888298452
26.27;0.990594393
26.16;1.006858612
26.20;1.174853403
26.26;1.119912247
27.00;0.963319326
28.20;2.477224877
29.34;14.67183464
30.03;-28.62145472
30.32;-15.51770586
30.46;-10.50601251
30.56;-0.582360065
30.66;2.171727672
30.76;11.96631633
30.86;15.45707763
30.84;13.1366614
30.63;13.14413474
30.09;40.02502676
29.33;28.05360063
28.59;22.01135691
28.07;7.765310795
27.61;1.819541381
27.17;1.308928314
27.06;1.260490158
27.64;0.767312472
27.48;0.730575033
27.34;0.966747836
27.30;1.126414461
27.24;1.011295589
27.26;1.045436997
27.53;3.246818403
28.05;18.06272807
28.88;-5.225974829
29.83;-7.363668996
30.55;-9.541610765
30.86;-5.291545977
30.84;2.056370128
30.68;1.669257869
30.48;-8.033999196
30.28;-10.56930691
30.08;-12.33218247
29.88;0.52531461
29.63;3.193211594
29.33;2.591408119
28.97;7.140958073
28.57;2.406634503
28.17;2.080938845
27.77;2.085104663
27.98;1.819087795
27.73;1.846586555
27.54;1.863281719
27.38;1.823141494
27.24;2.112349824
27.61;1.941978246
28.37;1.70358069
29.11;1.563169465
29.17;1.805860239
29.64;1.52826626
30.68;1.354324356
31.16;1.217816122
31.20;1.25856127
31.08;1.08808574
30.88;0.995285909
30.63;0.693507019
30.33;0.717071975
30.03;1.159376352
29.67;1.630328848
29.33;1.345040348
29.03;1.53527866
28.67;1.516536926
28.33;1.495764322
28.08;1.631472698
27.01;1.811263012
26.45;1.837366911
26.14;1.941077224
26.10;2.107203655
26.04;2.216382826
26.53;2.135612125
27.54;4.386983135
28.58;23.31925666
29.41;-5.531798539
29.99;-4.790851103
30.43;-0.486961166
30.83;17.11058194
31.18;12.43629271
31.36;5.395180358
31.23;-3.519391331
30.87;-5.356278989
30.41;-14.17911559
29.91;1.548729187
29.35;-6.558873608
28.81;-2.860941153
28.31;3.361224722
27.75;0.821615426
27.21;0.819331716
27.12;0.930120067
27.16;1.305126862
27.26;1.406358118
26.72;1.420874199
25.78;1.542698441
24.82;1.776937864
25.10;1.735783958
26.53;3.283750485
28.13;20.29151688
29.33;-0.828102546
30.05;-2.869420355
30.59;-0.192599526
31.09;10.96251012
31.48;10.70529583
31.66;3.730434179
31.64;-4.061621493
31.43;-1.480734128
31.01;-3.079337179
30.39;19.36512338
29.75;7.404942301
29.09;-0.901446671
28.68;3.835652128
28.54;0.970895539
28.38;0.980856908
28.24;1.099369637
27.31;2.311803342
26.87;2.124949961
26.47;2.150207968
26.01;2.27780396
25.57;2.372744844
25.75;3.097769875
26.53;5.318592658
27.54;20.95190145
28.58;-26.14748946
29.47;-11.80436629
30.15;-5.400561822
30.52;-0.839283716
30.60;1.559273865
30.48;5.212844907
30.17;2.926115535
29.77;6.289099571
29.31;9.647326673
28.81;27.05133776
28.37;20.13564137
27.91;12.53837311
27.58;8.542086427
27.44;2.55907309
27.28;2.026084409
27.08;1.941602474
27.83;1.712292488
27.58;1.842200069
27.44;1.851521282
27.40;1.906345728
27.34;1.852220723
27.53;1.81026706
28.05;3.399457348
28.71;12.0115032
29.35;-35.8028653
30.01;-16.74594428
30.59;-10.10831588
31.03;-3.611734108
31.32;5.167825844
31.28;7.773803341
30.79;3.454632843
30.03;16.37306485
29.23;16.01214988
28.61;28.81643739
28.28;14.40193863
28.03;9.948542142
27.90;3.138350586
27.90;2.424050869
27.90;2.250961755
27.84;2.252182251
27.38;0.836402645
27.62;0.85250102
27.47;0.919439413
27.13;0.96411075
26.77;1.168871854
27.07;0.948186158
27.93;1.131479871
28.83;3.313641489
29.43;11.06867093
29.78;11.15611684
30.08;12.74408079
30.32;11.72078963
30.52;11.43126623
30.72;10.46791631
30.98;10.39727929
31.10;8.298167756
31.04;6.957690739
30.65;5.742673608
29.93;3.781823793
29.19;0.560838678
28.73;0.643013153
28.37;0.688009506
28.03;0.683055422
27.73;0.787567261
28.14;1.104775137
28.04;1.166943213
27.88;1.18226092
27.74;1.307466323
27.58;1.217389056
27.91;1.262978414
28.67;3.151318513
29.47;23.68949929
29.98;-16.16661816
30.28;2.586318792
30.52;5.348459659
30.83;10.6180819
31.18;11.32302017
31.42;19.29055065
31.38;15.78551745
31.07;-18.25396215
30.61;-38.46872555
30.05;-9.527514792
29.51;-1.311783302
29.01;4.863172301
28.74;2.673263158
28.58;2.744806512
28.44;2.757361581
28.28;2.883301034
26.94;1.906155911
26.78;1.817692342
26.58;2.172246816
26.44;2.244283155
26.28;2.03532991
26.32;2.014569086
26.69;3.481406209
27.31;23.57756048
28.24;10.61936049
29.28;8.670985129
30.11;17.45653154
30.40;21.26057371
30.28;25.0560848
30.08;27.39576955
29.94;17.33758898
29.78;11.01373024
29.58;14.55812438
29.33;19.94826102
28.97;18.22229054
28.57;16.87659569
28.23;11.63001564
27.93;2.624584985
27.57;2.380686509
27.40;2.393190372
27.80;2.253777293
27.80;2.301256002
27.51;2.550709033
27.07;2.49275579
26.61;2.548844915
26.63;2.474319059
27.09;4.967132563
27.65;20.01840155
28.19;10.51139508
28.69;3.812339498
29.25;5.152505721
29.85;11.27115989
30.28;21.03761583
30.52;23.59055761
30.48;13.52513371
30.23;13.38864737
29.93;11.01704415
29.68;26.92618465
29.37;23.41290763
29.03;16.14956386
28.61;12.15699025
28.11;4.284168599
27.61;4.227853809
27.17;4.27815513
27.37;0.828673666
27.03;1.02766999
26.78;1.047904768
26.58;1.012237935
26.38;1.248121477
26.77;1.020137344
27.63;0.93012955
28.53;3.173661244
29.25;3.91494041
29.79;3.199417134
30.29;2.775073043
30.85;3.146257331
31.22;3.497386928
31.30;1.565725576
30.89;0.161018198
30.13;0.345529134
29.39;0.582755506
28.98;0.960491342
28.84;1.813909885
28.68;1.22394361
28.43;0.911831969
28.07;0.999211657
27.73;1.134772183
27.60;1.084792418
28.08;5.049513856
27.88;3.24495064
27.51;3.451275916
27.01;2.026870561
26.51;2.032901709
26.88;2.350520123
27.94;3.585634455
29.10;22.73569677
29.95;-4.748336047
30.49;3.489209165
30.88;10.53920178
31.18;14.30517972
31.42;18.13444006
31.50;12.18477143
31.33;8.626733055
30.97;3.454597847
30.51;4.609934737
30.07;22.17883117
29.73;23.63120359
29.37;17.80579156
29.14;15.43983435
28.98;1.412277915
28.84;1.081269875
28.68;0.922630355
27.46;2.484559601
27.50;2.357210035
27.21;2.496513936
26.77;2.439167571
26.31;2.440360101
26.33;2.423038151
26.85;3.815939547
27.63;15.65895744
28.58;-3.23640894
29.47;6.190244354
30.09;11.5008266
30.18;15.56904824
29.87;20.65340342
29.47;25.7339596
29.18;20.63805232
29.04;6.327085825
28.94;8.560359153
28.84;19.9949118
28.63;15.36273353
28.38;12.63525546
28.13;10.01965383
27.83;5.161916609
27.53;3.924323992
27.34;3.936121246
26.77;4.436538292
26.37;4.429383868
26.14;4.509861957
26.10;4.398203933
26.04;4.229841291
26.76;4.337815105
28.18;4.26865858
29.56;12.89423661
30.45;-6.066209976
30.88;7.806983249
31.06;5.867102797
31.16;10.16930441
31.26;10.7692219
31.24;-2.139734315
31.08;-12.4735046
30.77;-16.77012391
30.31;-17.07051972
29.75;-1.265401169
29.27;1.618274472
28.81;4.029335636
28.54;-0.003139491
28.44;2.26237103
28.34;2.094344826
27.89;2.143056637
27.54;0.972559468
27.50;1.019588602
27.21;1.045321404
26.65;1.162003792
26.11;1.380769777
26.48;1.314128216
27.60;1.238895803
28.80;0.784233506
29.65;0.657616489
30.19;0.595764891
30.63;0.512513564
30.98;0.357047312
31.22;0.330525899
31.24;0.304854614
31.03;0.169028459
30.61;0.218523455
30.17;0.23591088
29.71;0.36032537
29.21;0.56826413
28.77;0.864142988
28.43;1.351059413
28.18;1.678630697
27.93;1.028124331
27.63;0.917611812
28.54;1.09167481
28.38;0.990078781
28.07;1.076888355
27.61;1.068687993
27.17;1.266319705
27.41;1.206823722
28.23;2.719066705
29.07;18.88178099
29.75;9.2980132
30.29;17.99884303
30.85;17.53443508
31.39;19.05853297
31.78;20.00217277
31.84;21.08287183
31.39;10.60114917
30.63;10.53179931
29.83;20.78836657
29.27;32.08939545
28.93;24.81478557
28.57;16.36442094
28.34;2.02129707
28.30;1.105220867
28.24;1.057068796
28.08;1.141069134
27.30;3.929933934
27.24;4.109726014
27.03;3.929410168
26.73;3.998738424
26.43;4.097649607
26.24;3.984447438
26.26;4.653653982
26.42;9.0869299
26.79;-19.97374999
27.35;-13.3748933
27.95;-10.88163205
28.49;-12.91037123
28.93;8.205803324
29.28;9.604478321
29.52;6.193803298
29.54;4.657268031
29.38;4.570594415
28.95;8.729890494
28.35;8.761694203
27.75;2.404884688
27.38;1.290558012
27.24;2.467635083
27.08;2.250341906
26.88;2.209851515
27.13;2.467206277
26.39;2.521454704
25.98;2.639867244
25.78;2.558633085
25.58;2.692042756
26.20;2.54171665
27.52;3.049932616
28.86;10.61615864
29.81;-26.01733001
30.33;-36.16725728
30.68;-34.12070811
30.92;-28.82904879
31.00;-3.847974852
31.00;-2.328382308
30.94;-4.759019475
30.73;-1.342195075
30.31;-0.788651244
29.63;2.900119632
28.95;3.510122971
28.29;0.730530145
28.00;-0.046480836
27.94;2.261753015
27.90;1.762407642
27.78;1.60710535
27.38;0.915137811
27.13;1.058349282
26.71;1.063462529
26.21;1.117668
25.71;1.463692215
26.32;1.165341222
27.78;1.058264765
29.16;0.761533831
29.88;0.575313016
30.06;0.649857346
30.16;0.577489037
30.43;0.275395455
30.72;0.272176204
30.86;0.148872151
30.73;0.285938437
30.37;0.236509788
29.97;0.36448013
29.68;0.556235944
29.48;0.633893947
29.28;0.596145515
29.03;0.664814024
28.78;0.895955369
28.53;0.915850039
28.11;0.8013763
27.94;1.142667714
27.78;1.099289138
27.58;1.343175374
27.38;1.380940135
27.18;1.420865153
27.45;1.172425475
28.11;2.337697707
28.81;10.63112351
29.39;-21.917024
29.89;-28.60945671
30.39;-29.87775361
31.01;-30.27152198
31.59;-7.74942459
31.98;-12.45192949
31.98;-15.03680351
31.61;-15.14157589
31.05;-14.4930947
30.33;-9.925876908
29.71;-4.224246742
29.09;-3.330503272
28.86;-2.481678411
28.90;0.882787617
28.96;0.811651452
28.83;0.882477151
26.68;2.33387783
26.48;2.565812747
26.40;2.6158306
26.40;2.434573318
26.40;2.694161818
26.93;2.490305455
27.88;2.029957244
28.83;1.972023703
29.55;-2.757484353
30.09;-3.040996478
30.48;-3.157913263
30.78;-3.251943264
30.96;-3.327459061
31.06;-3.491923732
31.10;-3.688783545
30.93;-1.859296808
30.63;9.152217883
30.21;6.46643964
29.77;5.788216399
29.37;5.767437659
29.03;5.071580109
28.73;4.236226846
28.43;4.182178291
28.18;3.676923731
27.53;2.129029194
27.28;1.928253544
27.08;1.779487797
26.83;1.866386416
26.58;1.902358939
26.97;2.064454903
27.83;1.98127752
28.73;1.705276882
29.45;1.804892738
30.05;1.509052086
30.59;1.501707478
31.21;1.617306912
31.73;2.417431572
31.96;1.116771704
31.71;1.266113484
31.09;1.130461574
30.33;1.286731386
29.48;2.62322611
28.75;1.784212004
28.09;1.740306708
27.80;1.814575717
27.74;1.754597721
27.70;1.694056307
27.64;1.586737416
27.67;0.860925105
27.21;0.920389219
27.00;1.055797612
26.94;1.771834089
26.90;2.479587686
27.25;0.97677455
28.03;1.11146552
28.87;0.793514725
29.61;0.503804155
30.25;0.432767786
30.79;0.511452111
31.23;0.402528848
31.58;0.235131016
31.76;-0.036206051
31.68;-0.112652691
31.37;-0.273508531
30.91;-0.055411402
30.29;0.226072302
29.59;0.404887568
28.89;0.572885513
28.37;0.615020729
27.97;0.717829989
27.57;0.939140713
27.17;0.943874448
28.53;1.084636958
28.23;1.172826154
27.98;1.080782551
27.73;1.158267027
27.48;1.29178095
27.93;0.933454847
28.88;2.848748891
29.83;12.36669755
30.49;16.32698586
30.93;17.05918162
31.28;18.42771694
31.63;18.2262334
31.98;16.72630536
32.16;16.57604583
32.03;15.30996474
31.67;14.24026119
31.21;13.57502052
30.65;5.555390394
30.05;1.003942907
29.45;0.896441005
29.03;0.820299316
28.73;0.959486361
28.43;0.99354297
28.07;1.093218194
27.61;1.151717018
27.17;1.368113866
26.77;1.411317916
26.37;1.461063902
25.97;1.516366539
26.56;1.42685489
27.92;3.728043649
29.32;20.72585092
30.25;-26.15999105
30.68;-19.82275159
30.98;-12.20016952
31.39;-8.254162981
31.78;0.389403759
31.96;12.4884675
31.83;11.90000097
31.53;20.18969803
31.11;20.71072935
30.67;34.76304783
30.09;35.08613657
29.45;20.171632
28.85;7.435771854
28.25;4.033203178
27.65;1.123308005
27.23;1.119452999
26.98;1.21491144
26.73;1.313680369
26.54;1.402602404
26.38;1.537091438
26.24;1.335427082
26.90;1.460557627
28.16;3.467402602
29.40;22.00455531
30.25;-5.264489375
30.73;-2.440678937
31.08;-2.788111833
31.43;3.12646495
31.78;6.025009733
31.96;4.841484219
31.88;0.419952444
31.63;-4.58435829
31.21;-14.31878693
30.71;31.06305733
30.27;41.51846147
29.75;0.365267123
29.33;84.32818509
29.03;62.13604503
28.67;72.60211289
28.50;64.69510791
